Reaction_type,P,S1,S2,pred_best_methods,pred_best_methods_str,pred_best_score,error,pred_AM-I_P,pred_AM-I_S1,pred_AM-I_S2,pred_AM-II_P,pred_AM-II_S1,pred_AM-II_S2,pred_score_AM-I,pred_score_AM-II,pred_score_AM-III,pred_score_AM-IV,pred_score_AM-V,pred_score_AM-VI,pred_AM-IV_P,pred_AM-IV_S1,pred_AM-IV_S2,pred_AM-III_P,pred_AM-III_S1,pred_AM-III_S2,pred_AM-VI_P,pred_AM-VI_S1,pred_AM-VI_S2,pred_AM-V_P,pred_AM-V_S1,pred_AM-V_S2
acylation,O=C(Cc1ccc2c(c1)C(=O)c1ccccc1CO2)NCc1ccc2c(c1)OCO2,NCc1ccc2c(c1)OCO2,O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,['AM-III'],AM-III,1,,,,,,,,0.8055970082580394,0.6114983204575569,1,0.6183631069663804,0.5866889047131194,0.8223915466112927,,,,88.19189931156413,65.4302602253443,77.4412633307831,,,,,,
acylation,CC(C(=O)NCc1cccc2ccccc12)c1ccc(CC2CCCC2=O)cc1,NCc1cccc2ccccc12,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,['AM-I'],AM-I,1,,80.91747727876133,54.68028700324716,66.99660828101631,,,,1,0.7874385044851462,0.9641552307581793,0.9068514475949787,0.7341247972129776,0.9810796359125927,,,,,,,,,,,,
acylation,O=C(NCc1cccc2ccccc12)C(c1ccccc1)c1ccccc1,NCc1cccc2ccccc12,O=C(O)C(c1ccccc1)c1ccccc1,['AM-I'],AM-I,1,,89.4164642699819,54.68028700324716,70.5609086136408,,,,1,0.7981835070559213,0.9844152951915933,0.9598577705110499,0.6396576307462851,0.9819742275603165,,,,,,,,,,,,
acylation,O=C(Cc1ccc2c(c1)OCO2)NCc1cccc2ccccc12,NCc1cccc2ccccc12,O=C(O)Cc1ccc2c(c1)OCO2,['AM-III'],AM-III,1,,,,,,,,0.9696786926482952,0.7392270758035289,1,0.8323215811730407,0.683130520812655,0.8840545706099763,,,,87.21464119006694,76.91231261924256,67.25061373059825,,,,,,
acylation,O=C(Nc1ccncc1[N+](=O)[O-])C1c2ccccc2Oc2ccccc21,Nc1ccncc1[N+](=O)[O-],O=C(O)C1c2ccccc2Oc2ccccc21,"['AM-I', 'AM-III', 'AM-V']","AM-I, AM-III, AM-V",1,,67.22302196864553,34.07403183998345,77.40556674913049,,,,1,0.7813721486013663,1,0.8356111044230266,1,0.7612672181524767,,,,91.26081036407393,61.78158097709716,81.09700408858345,,,,67.84452348995845,58.248144056888606,78.9463303621333
acylation,O=C(Cc1ccc2c(c1)C(=O)c1ccccc1CO2)Nc1ccncc1[N+](=O)[O-],Nc1ccncc1[N+](=O)[O-],O=C(O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,['AM-III'],AM-III,1,,,,,,,,0.7932630797654041,0.7548809870633812,1,0.875195486741548,0.9312722057047256,0.7190801979311023,,,,86.6505023506723,61.78158097709716,77.4412633307831,,,,,,
acylation,CCc1cccc(NC(=O)Cc2ccc3c(c2)OCO3)c1,CCc1cccc(N)c1,O=C(O)Cc1ccc2c(c1)OCO2,['AM-III'],AM-III,1,,,,,,,,0.9580523765584599,0.8613047351750655,1,0.8320044645053803,0.6554163463022464,0.951143617865096,,,,89.40783718021882,78.2136824085986,67.25061373059825,,,,,,
acylation,O=C(Cc1cc(F)cc(F)c1)Nc1ccc2c(c1)OCCO2,Nc1ccc2c(c1)OCCO2,O=C(O)Cc1cc(F)cc(F)c1,['AM-I'],AM-I,1,,76.83011194720333,46.586455105630904,63.254901340215596,,,,1,0.7443468993568718,0.9793400192576976,0.7639958631524413,0.7261831223532205,0.9704852159544063,,,,,,,,,,,,
acylation,O=C(Cc1ccc2c(c1)OCO2)Nc1ccc2c(c1)OCCO2,Nc1ccc2c(c1)OCCO2,O=C(O)Cc1ccc2c(c1)OCO2,['AM-I'],AM-I,1,,69.02203520457358,46.586455105630904,58.07690940465211,,,,1,0.783467180877122,0.965042899070042,0.7335911420196064,0.6035948173264561,0.8719462278465133,,,,,,,,,,,,
acylation,CC(NC(=O)c1ccc2c(c1)OCCO2)c1cccc2ccccc12,C[C@H](N)c1cccc2ccccc12,O=C(O)c1ccc2c(c1)OCCO2,"['AM-I', 'AM-III']","AM-I, AM-III",1,,78.30851766815815,65.51960679210376,53.32127480108535,,,,1,0.6203726583562786,1,0.8161201403352218,0.3880713289023773,0.9942356307176593,,,,90.60767245335018,79.33057700041702,64.70893630577652,,,,,,
