feature,importance
fp_716,59.18279266357422
fp_58,59.129920959472656
fp_394,59.041351318359375
fp_169,58.96120834350586
col805,58.93254089355469
fp_605,58.91509246826172
fp_267,58.78001022338867
fp_698,58.62730407714844
fp_186,58.53495407104492
fp_45,58.5191650390625
fp_428,58.481624603271484
fp_548,58.454105377197266
fp_739,58.338470458984375
fp_377,57.60777282714844
fp_704,57.49402618408203
fp_630,57.061485290527344
col470,57.05792236328125
col89,56.75210952758789
fp_366,56.65758514404297
fp_673,56.36387252807617
fp_266,56.273197174072266
fp_115,56.17101287841797
fp_315,56.0985221862793
col821,55.91685485839844
fp_259,55.9141731262207
fp_1014,55.73466491699219
fp_342,55.670440673828125
fp_112,55.65519714355469
fp_110,55.36008834838867
fp_955,55.29353713989258
fp_39,55.236202239990234
col264,55.188148498535156
fp_1021,55.14750671386719
fp_812,54.8881721496582
fp_181,54.73851013183594
fp_637,53.623512268066406
fp_562,53.27421951293945
fp_895,52.704498291015625
fp_679,52.31794357299805
fp_165,52.29740524291992
fp_547,52.05758285522461
fp_211,51.911991119384766
fp_459,51.78341293334961
fp_1011,51.707035064697266
col325,51.69061279296875
fp_1009,51.61234664916992
col753,51.60553741455078
fp_778,51.59542465209961
fp_606,51.120121002197266
fp_361,50.902042388916016
fp_136,50.831729888916016
fp_69,50.792781829833984
fp_227,50.558284759521484
fp_736,50.516822814941406
col718,50.461395263671875
fp_194,50.36898422241211
fp_244,50.18805694580078
fp_544,50.18193054199219
fp_193,50.053245544433594
fp_718,50.05189514160156
col478,49.992069244384766
fp_233,49.91080093383789
fp_595,49.8790168762207
col475,49.87153625488281
fp_480,49.7646484375
fp_63,49.76243591308594
fp_464,49.661190032958984
fp_981,49.56907653808594
fp_534,49.404747009277344
fp_152,49.306793212890625
fp_584,49.21358108520508
fp_994,49.09569549560547
fp_947,48.784950256347656
fp_883,48.69791030883789
fp_566,48.67818832397461
fp_522,48.54167175292969
fp_901,48.50676345825195
fp_663,48.23152160644531
fp_816,48.188514709472656
fp_871,48.047386169433594
fp_454,48.008750915527344
fp_591,47.98183059692383
fp_587,47.95220184326172
fp_66,47.87644958496094
fp_800,47.855594635009766
fp_322,47.80735397338867
fp_948,47.782379150390625
fp_429,47.571044921875
fp_832,47.49483871459961
fp_141,47.43416213989258
fp_699,47.299827575683594
fp_108,47.25568389892578
col732,47.14955520629883
fp_907,47.1457405090332
fp_691,47.133506774902344
fp_490,46.91514205932617
fp_371,46.86235809326172
fp_885,46.659202575683594
fp_819,46.628456115722656
fp_332,46.53517532348633
fp_934,46.48546600341797
fp_196,46.47707748413086
fp_734,46.363067626953125
fp_202,46.241390228271484
col440,46.18390655517578
fp_396,46.174434661865234
fp_621,46.15432357788086
fp_969,46.02009582519531
fp_250,45.98015213012695
fp_622,45.932579040527344
fp_703,45.76023864746094
fp_217,45.7218132019043
fp_993,45.66416931152344
fp_10,45.19832992553711
fp_770,45.14664077758789
fp_896,44.72443389892578
fp_8,44.511680603027344
fp_262,44.476524353027344
fp_823,44.18295669555664
fp_661,44.09139633178711
fp_916,44.06807327270508
fp_354,43.69388961791992
fp_426,43.658851623535156
fp_87,43.56831741333008
fp_243,43.40647888183594
fp_642,43.35853958129883
fp_599,43.33639144897461
fp_761,43.30558395385742
col736,42.98163604736328
fp_41,42.81850051879883
fp_228,42.757164001464844
fp_697,42.74574279785156
fp_899,42.72411346435547
fp_853,42.64697265625
fp_590,42.32177734375
fp_248,42.16883850097656
fp_649,42.0656623840332
fp_730,41.94301223754883
fp_982,41.845821380615234
col336,41.845359802246094
fp_662,41.45336151123047
fp_937,41.25824737548828
fp_905,40.86431884765625
fp_835,40.71724319458008
fp_29,40.666015625
fp_373,40.53200912475586
fp_641,40.503170013427734
fp_15,40.34693145751953
col393,40.328670501708984
fp_785,40.25798034667969
col782,40.23107147216797
fp_529,39.98938751220703
fp_694,39.52033233642578
fp_851,39.49790954589844
fp_582,39.40046310424805
fp_397,39.281471252441406
fp_627,39.03742218017578
fp_635,38.95698165893555
fp_32,38.753761291503906
col772,38.70967102050781
fp_284,38.585304260253906
fp_782,38.438167572021484
fp_875,38.42596435546875
fp_42,38.36827850341797
fp_116,38.22764205932617
fp_485,38.15298843383789
fp_357,38.06903839111328
fp_22,38.06899642944336
fp_656,38.010311126708984
fp_78,37.42840576171875
fp_159,37.42205810546875
fp_437,37.39826202392578
fp_300,37.393280029296875
fp_913,37.383872985839844
fp_908,37.31461715698242
col335,37.12747573852539
fp_23,37.119667053222656
fp_565,36.78850173950195
fp_64,36.741607666015625
fp_82,36.70709991455078
fp_705,36.6297721862793
fp_815,36.23793411254883
fp_90,35.62822723388672
fp_189,35.296146392822266
fp_170,34.693973541259766
fp_345,34.63241195678711
fp_572,34.56125259399414
fp_983,34.533836364746094
fp_3,34.51737976074219
fp_290,34.30874252319336
fp_149,34.21531677246094
fp_784,34.2014045715332
fp_976,34.10467529296875
fp_223,34.07667541503906
fp_892,34.00660705566406
col426,33.89018630981445
fp_506,33.83964920043945
fp_985,33.64972686767578
col767,33.64028549194336
fp_353,33.61100769042969
fp_971,33.47211837768555
fp_917,33.42378234863281
fp_588,33.3846321105957
fp_278,33.35955810546875
fp_451,33.268165588378906
fp_434,33.0445556640625
fp_826,32.765296936035156
fp_340,32.706642150878906
fp_311,32.62409973144531
fp_204,32.46134567260742
fp_329,32.29865264892578
fp_600,32.13881301879883
fp_84,31.949203491210938
fp_160,31.810409545898438
fp_543,31.651071548461914
col820,31.476903915405273
fp_318,31.3105525970459
fp_517,31.155183792114258
fp_909,31.115684509277344
fp_927,30.956912994384766
fp_439,30.72430419921875
fp_719,30.7047119140625
fp_410,30.53498649597168
fp_418,30.322265625
col338,30.289875030517578
fp_583,30.250244140625
fp_127,29.98660659790039
fp_95,29.869550704956055
fp_594,29.800512313842773
fp_839,29.72762107849121
fp_833,29.605798721313477
fp_286,29.51433563232422
fp_573,29.482725143432617
fp_246,29.42133903503418
fp_553,29.413488388061523
fp_154,29.389556884765625
fp_749,29.333877563476562
fp_721,29.182491302490234
fp_737,28.99156379699707
fp_26,28.973066329956055
fp_638,28.889760971069336
fp_400,28.73665428161621
fp_34,28.727876663208008
fp_634,28.689083099365234
fp_435,28.65086555480957
fp_990,28.636295318603516
fp_81,28.60114860534668
col90,28.354917526245117
